Địa chỉ,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Giá/m2
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,5 phòng,46 m²,,,"86,96 triệu/m²"
"Đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội","Nhà mặt phố, mặt tiền",,,3 phòng,37 m²,,,"116,22 triệu/m²"
"phố minh khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,4 phòng,40 m²,10 m,4 m,65 triệu/m²
"Đường Võng Thị, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,6 phòng,51 m²,12.75 m,4 m,100 triệu/m²
"Đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội","Nhà ngõ, hẻm",,,4 phòng,36 m²,9 m,4 m,"86,11 triệu/m²"
"Đường Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,nhiều hơn 10 phòng,46 m²,12.1 m,3.8 m,"104,35 triệu/m²"
"Đường Tây Sơn, Phường Trung Liệt, Quận Đống Đa, Hà Nội","Nhà ngõ, hẻm",,,3 phòng,52 m²,,4.5 m,"112,5 triệu/m²"
"Đường Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội","Nhà mặt phố, mặt tiền",Đã có sổ,6.0,5 phòng,32 m²,,6.8 m,"184,38 triệu/m²"
"Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội","Nhà ngõ, hẻm",,,4 phòng,75 m²,12 m,6.5 m,120 triệu/m²
"Đường 19/5, Phường Văn Quán, Quận Hà Đông, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,4.0,3 phòng,41 m²,,3.5 m,"64,63 triệu/m²"
"Đường Tựu Liệt, Thị trấn Văn Điển, Huyện Thanh Trì, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,3 phòng,35 m²,,,"45,71 triệu/m²"
"Đường Định Công Hạ, Phường Định Công, Quận Hoàng Mai, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,5.0,4 phòng,30 m²,,,"83,33 triệu/m²"
"Đường Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội","Nhà ngõ, hẻm",Đã có sổ,,4 phòng,52 m²,13 m,4 m,"93,27 triệu/m²"
